column2,column3,column4,column5,column6,column7,column8,column9
Century Rio 24,Local business,132671,35.14162291,-106.6023518,,,
Sandia Resort & Casino,Arts/entertainment/nightlife,111136,35.20668428,-106.5665999,,,
Isotopes Park,Local business,106606,35.06948227,-106.6296216,,,
The University of New Mexico - UNM,Education,83461,35.08406594,-106.6201847,,,
The University of New Mexico - UNM,Education,83459,35.08406594,-106.6201847,,,
Ojos Locos Albuquerque,Restaurant/cafe,65108,35.10001844,-106.5694127,,,
The Pit,Sports venue,49364,35.06692218,-106.632189,,,
Hooters on San Mateo,Local business,49079,35.13523616,-106.5869333,,,
Tucanos Brazilian Grill - Albuquerque,Restaurant/cafe,46212,35.08411313,-106.6484336,,,
Elephant Bar Restaurant,Local business,45619,35.10330703,-106.5683302,,,
Frontier Restaurant,Restaurant/cafe,44488,35.08095843,-106.6193396,,,
Buffalo Wild Wings #27,Local business,42874,35.19503006,-106.6545929,,,
Cottonwood Mall,Shopping/retail,42288,35.19849218,-106.6569959,,,
Sadie's of New Mexico,Restaurant/cafe,39461,35.14763157,-106.6383588,,,
The Dirty Bourbon Dance Hall & Saloon,Bar,39261,35.12948832,-106.5317314,,,
ABQ International Airport,Local business,37757,35.04735796,-106.6166108,,,
Defined Fitness,Local business,31833,35.15436716,-106.6806035,,,
Coronado Center,Shopping/retail,31591,35.10677076,-106.5747679,,,
The Library Bar & Grille,Bar,29556,35.08428726,-106.6510776,,,
Sagebrush Community Church,Church/religious organization,27848,35.16154898,-106.6759829,,,
ABQ BioPark,Attractions/things to do,27154,35.07795894,-106.6629439,,,
Regal Winrock Stadium 16 IMAX & RPX,Local business,26773,35.0976782,-106.5624988,,,
Azuma Sushi & Teppan ABQ NM,Restaurant/cafe,26115,35.13610867,-106.5868927,,,
Twin Peaks Albuquerque,Restaurant/cafe,25543,35.14649778,-106.5913541,,,
Century 14 Downtown,Movie theater,25441,35.08326543,-106.6487198,,,
Olive Garden,Local business,24539,35.14733808,-106.5889104,,,
Popejoy Hall,Arts/entertainment/nightlife,24360,35.08210926,-106.6199335,,,
New Mexico Museum of Natural History & Science,Museum/art gallery,22379,35.09799069,-106.6654012,,,
Cornado Mall,Local business,21931,35.10690818,-106.5709496,,,
New Mexico State Fair,Attractions/things to do,21854,35.08048804,-106.5738078,,,
Cheddar's,Local business,21277,35.13937756,-106.6009194,,,
Saggios,Restaurant/cafe,21234,35.08038853,-106.6197514,,,
CNM Central New Mexico Community College,Education,21143,35.07251965,-106.6286378,,,
Defined Fitness,Local business,21003,35.13798554,-106.5881809,,,
Hotel Albuquerque at Old Town,Hotel,19804,35.10007988,-106.6692788,,,
University of New Mexico Football Stadium,Local business,19733,35.0668819,-106.6288302,,,
UNM Hospitals,Health/medical/pharmaceuticals,19069,35.08819633,-106.6183872,,,
UNM Hospitals,Health/medical/pharmaceuticals,19068,35.08819633,-106.6183872,,,
Expo New Mexico,Local business,18853,35.08345788,-106.5745026,,,
Maloney's Tavern,Bar,18506,35.08458454,-106.6514302,,,
Cinemark Movies 8,Local business,18469,35.13522526,-106.5889681,,,
Calvary Albuquerque,Church/religious organization,18033,35.15652956,-106.59708,,,
Presbyterian Hospital Downtown,Local business,17762,35.08169038,-106.6351835,,,
Presbyterian Hospital Downtown,Local business,17759,35.08169038,-106.6351835,,,
GravityPark,Sports/recreation/activities,17700,35.18690891,-106.5850848,,,
Chili's Grill & Bar,Local business,17093,35.11200872,-106.7014598,,,
Fox and Hound ABQ,Bar,17082,35.1472152,-106.5943971,,,
Graham Central Station,Bar,16911,35.12914462,-106.5889976,,,
Peter Piper Pizza,Local business,16403,35.1168757,-106.5865161,,,
St Clair Winery & Bistro,Local business,16310,35.10291454,-106.6710895,,,
St Clair Winery & Bistro,Local business,16307,35.10291454,-106.6710895,,,
UA Cottonwood Mall Stadium 16,Local business,16132,35.196303,-106.658863,,,
Explora Science Center,Attractions/things to do,16002,35.09721581,-106.6643128,,,
Garduno's Restaurants,Restaurant/cafe,15924,35.10078354,-106.5654761,,,
Kellys Brew Pub,Local business,15761,35.08018121,-106.6084914,,,
Monte Vista Fire Station Restaurant & Bar,Bar,15562,35.08062237,-106.6095101,,,
Rio Grande Zoo,Organization,15524,35.0776,-106.6627,,,
Red Robin Gourmet Burgers,Local business,15487,35.19458556,-106.6547206,,,
Buca di Beppo Albuquerque NM,Local business,15213,35.09986779,-106.572527,,,
Southwest Airlines at ABQ,Local business,15210,35.04736393,-106.6150815,,,
Sneakerz Sports Bar & Grill,Bar,15058,35.12782498,-106.5858381,,,
Nob Hill Bar & Grill,Restaurant/cafe,15025,35.08036405,-106.6098614,,,
It'z LP,Local business,14895,35.13499835,-106.5888086,,,
Z-Fit of NM Studio,Local business,14812,35.14306549,-106.5914991,,,
P.F. Chang's China Bistro,Local business,14649,35.14576622,-106.5915834,,,
Cracker Barrel Old Country Store,Restaurant/cafe,14569,35.15916683,-106.5859199,,,
Blissful Spirits Hot Yoga,Local business,14535,35.17397617,-106.600694,,,
Cinemark Movies West,Local business,14361,35.182522,-106.6678692,,,
Riverpoint Sports & Wellness,Sports/recreation/activities,14307,35.17929219,-106.6682293,,,
Silva Lanes,Local business,14166,35.11715432,-106.5330935,,,
Tingley Beach,Local business,13889,35.08569306,-106.6738562,,,
Albuquerque Marriott Pyramid North,Hotel,13538,35.16808667,-106.5866036,,,
Blackbird Buvette,Bar,13490,35.08490617,-106.6531961,,,
Old Town Albuquerque,Landmark,13395,35.09608881,-106.669743,,,
Vintage 423,Restaurant/cafe,13148,35.1737318,-106.5576101,,,
Del Norte Sports & Wellness,Sports/recreation/activities,13133,35.16054872,-106.5586812,,,
National Hispanic Cultural Center,Arts/entertainment/nightlife,13014,35.06764386,-106.6557291,,,
ABQ Uptown,Shopping/retail,12987,35.10291287,-106.5673734,,,
Chili's Grill & Bar,Local business,12717,35.10936223,-106.567253,,,
Roller Skate City,Attractions/things to do,12705,35.07644976,-106.5117698,,,
Anodyne,Local business,12686,35.08479675,-106.6520511,,,
Regal Cinemas: Cottonwood Stadium 16,Local business,12673,35.19833981,-106.6561496,,,
Isotope Stadium,Local business,12607,35.06956242,-106.6295556,,,
Golden Corral,Local business,12577,35.14072347,-106.5868609,,,
Albuquerque Convention & Visitors Bureau,Local business,12056,35.08680491,-106.6490001,,,
Uptown Sports Bar and Grill,Bar,12043,35.10393576,-106.5713076,,,
UNM Children's Hospital,Local business,11966,35.08830472,-106.6186204,,,
O'Niell's Pub,Restaurant/cafe,11786,35.07861417,-106.5956566,,,
Chama River Brewing Co.,Restaurant/cafe,11766,35.1401425,-106.5998483,,,
Burt's Tiki Lounge,Bar,11716,35.08373999,-106.6512195,,,
Hotel Cascada,Hotel,11704,35.10770945,-106.6031261,,,
Kiva Auditorium,Local business,11466,35.08778845,-106.6491236,,,
Effex Albuquerque,Arts/entertainment/nightlife,11322,35.08450629,-106.652572,,,
Lovelace Women's Hospital,Local business,11203,35.13169808,-106.5907299,,,
Olive Garden,Local business,11159,35.20821816,-106.6576078,,,
Outback Steakhouse - Albuquerque - Jefferson,Local business,10831,35.14013709,-106.5958056,,,
Indian Pueblo Cultural Center,Non-profit organization,10587,35.11051858,-106.6590368,,,
Buffalo Wild Wings,Local business,10481,35.13103501,-106.548961,,,
Cracker Barrel Old Country Store,Restaurant/cafe,10254,35.11793969,-106.7020841,,,
Hayashi,Local business,10250,35.14850869,-106.5870027,,,
Flying Star Cafe,Local business,10191,35.20439471,-106.6458005,,,
Garduno's Restaurants,Restaurant/cafe,10125,35.19679593,-106.653135,,,
Olive Garden,Local business,10098,35.0788024,-106.5157219,,,
Texas Land & Cattle Steakhouse,Local business,10019,35.14020824,-106.5996915,,,
Sandia Peak Tramway,Tours/sightseeing,9983,35.19082539,-106.4793757,,,
Lotus Nightclub,Local business,9964,35.08351543,-106.6499169,,,
Standard Diner,Restaurant/cafe,9946,35.08339676,-106.6437433,,,
Los Cuates,Local business,9837,35.19764403,-106.652207,,,
Chuck E. Cheese's,Local business,9778,35.20791105,-106.6569306,,,
T.G.I. Friday's,Local business,9616,35.19370364,-106.6559,,,
Sandia Ampitheater,Local business,9521,35.20609375,-106.5683492,,,
USS Bullhead Park,Local business,9319,35.05225931,-106.5791498,,,
Evolv fitness of NM,Sports/recreation/activities,9306,35.17208047,-106.576928,,,
Scalo Northern Italian Grill,Restaurant/cafe,9292,35.0796589,-106.6053382,,,
The Egg and I - Albuquerque,Local business,9235,35.10960149,-106.5671848,,,
Tingley Coliseum,Landmark,9122,35.08247674,-106.5726834,,,
Chili's Grill & Bar,Local business,9068,35.1382185,-106.5871085,,,
Romano's Macaroni Grill - Albuquerque,Local business,9024,35.09918333,-106.5681218,,,
Albuquerque Marriott,Local business,9024,35.09951706,-106.5698288,,,
Church Street Cafe,Restaurant/cafe,9023,35.09731274,-106.6698662,,,
Fuddruckers Restaurant,Local business,8685,35.10683868,-106.5702697,,,
Zinc Cellar Bar,Bar,8643,35.0810376,-106.6115414,,,
The Grove Cafe And Market,Restaurant/cafe,8625,35.08286415,-106.6404487,,,
Peter Piper Pizza,Local business,8614,35.18637431,-106.6842703,,,
Chili's Grill & Bar,Local business,8575,35.07166784,-106.5342258,,,
MCM Elegante Albuquerque,Hotel,8547,35.10834689,-106.6225653,,,
Zimmerman Library Building,Local business,8355,35.08494667,-106.6205006,,,
Il Vicino Brewery,Restaurant/cafe,8318,35.12040609,-106.6178723,,,
Chili's Grill & Bar,Local business,8318,35.19603642,-106.6534651,,,
Mac's La Sierra,Restaurant/cafe,8159,35.08104797,-106.7066344,,,
Samurai Grill & Sushi Bar,Local business,8152,35.13030654,-106.5351928,,,
Midtown Sports & Wellness,Sports/recreation/activities,8118,35.10673747,-106.6001967,,,
Sadie's of New Mexico,Local business,8009,35.08496886,-106.5317858,,,
KiMo Theatre,Arts/entertainment/nightlife,7933,35.08493043,-106.6525053,,,
University of New Mexico Hospital,Hospital/clinic,7878,35.08826734,-106.6169579,,,
Sister,Concert venue,7719,35.08473349,-106.6520728,,,
Dion's Pizza,Local business,7704,35.19666148,-106.6590163,,,
Hotel Parq Central,Hotel,7656,35.08245924,-106.638118,,,
River of Lights,Local business,7630,35.09327633,-106.6798383,,,
Gecko's Bar & Tapas,Restaurant/cafe,7598,35.07957376,-106.6054399,,,
TA Travel Center Albuquerque NM,Local business,7551,35.11102234,-106.6243814,,,
Holy Cow Albuquerque,Restaurant/cafe,7550,35.08268989,-106.639694,,,
Golden Corral,Local business,7550,35.11468771,-106.703312,,,
Revive Nutrition,Club,7545,35.10338327,-106.6482685,,,
Five Guys Burgers and Fries,Local business,7453,35.17488989,-106.5730139,,,
DoubleTree by Hilton Hotel Albuquerque,Hotel,7368,35.08847176,-106.6493482,,,
Vernon's Hidden Valley Steakhouse,Restaurant/cafe,7368,35.16054023,-106.6376472,,,
O'Niell's Heights,Restaurant/cafe,7142,35.11899224,-106.5160569,,,
Cool Springz Trampoline Park,Sports/recreation/activities,7090,35.12926169,-106.6213809,,,
Walter White's House,Local business,7040,35.12604875,-106.5370199,,,
Chuck E. Cheese's,Local business,7035,35.1299526,-106.5494544,,,
Fuddruckers Restaurant,Local business,6989,35.13847967,-106.6021455,,,
Seasons Rotisserie & Grill,Restaurant/cafe,6981,35.09901021,-106.6690263,,,
